count_start_date,average_daily_car_traffic,neighborhood
4/18/19,4949,Polish Hill
7/17/18,2741,Squirrel Hill South
3/22/19,1046,Central Northside
4/18/19,3015,Polish Hill
7/16/18,5592,Squirrel Hill South
2/5/19,1455,Bluff
8/9/19,11500,Crafton Heights
2/14/19,6793,Shadyside
6/25/18,7688,Highland Park
7/9/19,10350,North Shore
12/28/18,9435,East Liberty
12/15/19,3860,Mount Washington
8/9/19,9709,Brookline
11/4/19,613,Shadyside
8/30/19,1163,East Liberty
8/1/19,7686,Mount Washington
7/18/19,3239,Squirrel Hill North
2/14/19,1120,Bloomfield
11/14/18,9546,Squirrel Hill South
6/28/19,6984,Bloomfield
3/7/19,8512,Larimer
6/13/19,4448,Friendship
7/5/19,3150,Squirrel Hill North
4/26/19,12335,Point Breeze
10/14/19,16729,Regent Square
6/28/19,8911,East Liberty
9/13/18,8407,East Liberty
7/18/19,1265,Point Breeze
1/14/19,1786,Central Lawrenceville
10/21/19,527,Knoxville
10/21/19,3776,Central Oakland
1/14/19,6443,Strip District
6/28/19,6984,Bloomfield
6/5/18,976,Greenfield
12/12/19,1080,Highland Park
3/8/19,1218,Larimer
3/7/19,728,Larimer
8/20/18,2931,Windgap
12/11/18,2046,Beechview
2/14/19,7111,Bloomfield
12/12/19,1530,Upper Hill
8/30/19,781,Squirrel Hill North
1/2/19,5490,Squirrel Hill South
11/22/19,4016,Stanton Heights
11/22/19,6090,Stanton Heights
3/22/19,9405,Manchester
8/1/19,8243,South Side Slopes
5/28/19,927,Squirrel Hill North
9/9/19,763,Beechview
11/14/19,317,Highland Park
12/4/18,768,Polish Hill
12/12/19,4548,Highland Park
9/9/19,1410,Perry North
11/14/19,2450,Squirrel Hill South
11/4/19,416,Shadyside
1/24/19,5151,Larimer
12/12/19,4550,North Oakland
4/19/19,13788,East Hills
8/1/19,5831,Duquesne Heights
9/9/19,1468,Brookline
12/28/18,5787,East Liberty
12/11/18,4301,Mount Washington
6/14/19,3304,Sheraden
11/20/18,1802,Morningside
10/21/19,1049,Polish Hill
6/28/19,7579,North Oakland
2/14/19,7621,Squirrel Hill North
10/17/18,4015,Mount Washington
10/18/18,3580,North Oakland
6/25/18,5327,Highland Park
8/1/19,9075,Mount Washington
12/12/19,5015,Squirrel Hill South
1/14/19,2305,Central Business District
11/14/19,995,Highland Park
8/30/19,317,East Liberty
10/21/19,2436,St. Clair
9/9/19,6943,Perry South
2/5/19,1363,Bluff
8/10/18,338,Elliott
7/18/19,4354,Shadyside
12/15/20,1468,Carrick
9/9/19,3302,Perry North
8/30/19,483,East Liberty
5/1/19,3827,Larimer
11/8/18,382,Central Oakland
11/4/19,9600,Westwood
3/22/19,2386,Allegheny Center
6/13/19,1270,Bloomfield
8/9/19,3427,Elliott
11/14/19,155,Highland Park
10/17/18,7619,Mount Washington
3/22/19,1924,East Allegheny
1/14/19,936,Central Lawrenceville
8/30/19,541,Squirrel Hill North
9/24/19,867,Bloomfield
11/4/19,5800,Westwood
9/24/19,719,Squirrel Hill South
2/14/19,5859,Shadyside
11/14/19,1390,Squirrel Hill North
8/9/19,131,Windgap
9/24/19,1183,Squirrel Hill South
12/28/18,6513,Point Breeze
9/24/19,571,Squirrel Hill South
8/1/19,4921,Mount Washington
10/12/19,1625,Brookline
6/1/19,2238,Mount Washington
6/14/19,3876,Sheraden
10/21/19,777,Overbrook
7/9/19,929,Point Breeze
4/18/19,5663,Polish Hill
8/30/19,4254,East Liberty
5/1/19,6747,Larimer
12/4/18,927,Upper Hill
10/14/19,1107,Point Breeze
2/5/19,2547,Bluff
